scipy_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/signal/tests/test_signaltools.py_equal_tolerance,0.67,3,2,['log10' 'log10' 'finfo'],['array_api._elementwise_functions.log10' 'numeric.log10']
/signal/tests/test_signaltools.py_equal_tolerance_fft,0.5,2,1,['longdouble' 'float64'],['dtypes.float64']
/signal/tests/test_signaltools.py_fftconvolve_err,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_filtfilt,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_filtfilt_gust_opt,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_filtfilt_gust_opt_func,1.0,2,2,['sum' 'sum'],['array_api._statistical_functions.sum' 'pdarrayclass.sum']
/signal/tests/test_signaltools.py_gen_oa_shapes,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_gen_oa_shapes_2d,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_gen_oa_shapes_eq,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_generate,1.0,4,4,['prod' 'linspace' 'prod' 'linspace'],"['array_api._statistical_functions.prod'
 'array_api._creation_functions.linspace' 'pdarrayclass.prod'
 'pdarraycreation.linspace']"
/signal/tests/test_signaltools.py_lf0,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_lf1,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_test_1d_axes,0.0,1,0,['random.rand'],[]
/signal/tests/test_signaltools.py_test_1d_noaxes,0.0,1,0,['random.rand'],[]
/signal/tests/test_signaltools.py_test_2d_arrays,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_test_2d_axes,0.0,1,0,['random.rand'],[]
/signal/tests/test_signaltools.py_test_2d_complex_same,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_test_2d_complex_same_axes,0.0,1,0,['tile'],[]
/signal/tests/test_signaltools.py_test_2d_events_ValueError,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_signaltools.py_test_2d_noaxes,0.0,1,0,['random.rand'],[]
/signal/tests/test_signaltools.py_test_2d_period_ValueError,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_signaltools.py_test_2d_real_same,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_test_2d_real_same_axes,0.0,1,0,['tile'],[]
/signal/tests/test_signaltools.py_test_acoeff,1.0,2,2,['arange' 'arange'],['pdarraycreation.arange' 'array_api._creation_functions.arange']
/signal/tests/test_signaltools.py_test_auto_n,0.75,8,6,['sin' 'sqrt' 'sin' 'linalg.norm' 'arange' 'arange' 'sqrt' 'pi'],"['numeric.sin' 'pdarrayclass.sqrt' 'array_api._elementwise_functions.sin'
 'pdarraycreation.arange' 'array_api._creation_functions.arange'
 'array_api._elementwise_functions.sqrt']"
/signal/tests/test_signaltools.py_test_axis,0.67,3,2,['arange' 'arange' 'swapaxes'],['array_api._creation_functions.arange' 'pdarraycreation.arange']
/signal/tests/test_signaltools.py_test_bad_args,1.0,3,3,['arange' 'arange' 'array'],"['pdarraycreation.arange' 'array_api._creation_functions.arange'
 'pdarraycreation.array']"
/signal/tests/test_signaltools.py_test_bad_size_zi,1.0,2,2,['arange' 'arange'],['pdarraycreation.arange' 'array_api._creation_functions.arange']
/signal/tests/test_signaltools.py_test_bad_zi_shape,1.0,3,3,['zeros' 'empty' 'zeros'],"['array_api._creation_functions.zeros'
 'array_api._creation_functions.empty' 'pdarraycreation.zeros']"
/signal/tests/test_signaltools.py_test_basic,0.75,4,3,['tile' 'array' 'arange' 'arange'],"['pdarraycreation.array' 'array_api._creation_functions.arange'
 'pdarraycreation.arange']"
/signal/tests/test_signaltools.py_test_basic_FIR,1.0,2,2,['arange' 'arange'],['array_api._creation_functions.arange' 'pdarraycreation.arange']
